[0, 1];['', 0.0]
[0, 1, 2];['', 12.71]
[1, 2];[43.9, '']
[2];[200.59, '']
[2, 3];['', 243.81]
[3];[375.03000000000003, '']
[];[496.31, '']
[4];['', 526.08]
[3, 4];['', 529.0600000000001]
[3, 4, 5];['', 531.5]
[4, 5];[539.85, '']
[5];[694.61, '']
[5, 6];['', 734.77]
[6];[840.9300000000001, '']
[];[1005.0, '']
[3];['', 1067.15]
[2, 3];['', 1073.52]
[2, 3, 4];['', 1074.59]
[2, 3];[1143.46, '']
[2];[1252.41, '']
[];[1257.46, '']
[1];['', 1277.96]
[1, 2];['', 1278.67]
[1];[1401.4, '']
[];[1557.97, '']
[4];['', 1601.96]
[4, 5];['', 1602.82]
[4];[1775.0900000000001, '']
[];[1839.64, '']
[4];['', 1884.26]
[4, 5];['', 1907.04]
[4];[1907.45, '']
[4, 5];['', 1914.74]
[5];[1973.8400000000001, '']
[5, 6];['', 2038.7]
[6];[2156.01, '']
[];[2285.81, '']
[2];['', 2358.43]
[2, 3];['', 2365.36]
[1, 2, 3];['', 2369.73]
[1, 2];[2442.9, '']
[1];[2548.53, '']
[];[2681.29, '']
[2];['', 2705.54]
[2, 3];['', 2721.51]
[3];[2838.67, '']
[3, 4];['', 2936.87]
